InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
583738,POST0004,Product Item 0004,20,2024-07-08 05:04:00,42.27,12860,United Kingdom
588572,POST0015,Product Item 0015,2,2025-01-22 19:27:00,37.03,17390,United Kingdom
587535,POST0006,Product Item 0006,15,2025-03-04 01:50:00,27.79,17226,United Kingdom
582216,POST0054,Product Item 0054,14,2024-10-10 16:53:00,30.13,17191,United Kingdom
587747,POST0049,Product Item 0049,20,2024-08-24 03:51:00,26.15,15772,United Kingdom
581880,POST0030,Product Item 0030,22,2024-07-12 09:54:00,15.93,15092,United Kingdom
584814,POST0056,Product Item 0056,11,2024-10-13 21:36:00,28.9,17734,United Kingdom
584149,POST0038,Product Item 0038,3,2024-05-15 02:52:00,34.9,12466,United Kingdom
581084,POST0051,Product Item 0051,17,2024-06-19 16:12:00,43.85,17334,Germany
586149,POST0057,Product Item 0057,12,2024-06-07 17:10:00,32.35,16426,United Kingdom
588892,POST0002,Product Item 0002,24,2024-07-19 19:38:00,38.41,17578,United Kingdom
585144,POST0015,Product Item 0015,21,2025-05-01 09:05:00,9.26,15444,United Kingdom
588944,POST0011,Product Item 0011,15,2025-07-10 09:07:00,23.88,15171,EIRE
582168,POST0008,Product Item 0008,16,2025-08-05 08:37:00,1.95,14919,United Kingdom
585164,POST0026,Product Item 0026,5,2025-05-18 15:13:00,13.46,12130,United Kingdom
584129,POST0051,Product Item 0051,20,2025-01-05 03:34:00,36.73,13685,United Kingdom
587840,POST0045,Product Item 0045,6,2024-04-12 02:13:00,49.59,12769,Germany
584645,POST0044,Product Item 0044,19,2024-05-04 04:44:00,6.31,14391,United Kingdom
583526,POST0005,Product Item 0005,5,2024-11-08 19:09:00,20.97,17611,United Kingdom
583867,POST0006,Product Item 0006,3,2025-04-02 11:25:00,40.3,14433,United Kingdom
584516,POST0026,Product Item 0026,1,2024-08-17 19:35:00,11.39,17311,United Kingdom
584367,POST0054,Product Item 0054,6,2025-10-19 05:30:00,28.42,17051,United Kingdom
586797,POST0004,Product Item 0004,15,2024-07-15 23:26:00,37.05,13184,France
588338,POST0019,Product Item 0019,2,2025-02-26 18:58:00,31.37,16555,United Kingdom
586694,POST0020,Product Item 0020,3,2025-07-25 14:53:00,10.62,15385,United Kingdom
583194,POST0033,Product Item 0033,17,2025-09-01 21:47:00,18.73,16117,United Kingdom
584555,POST0020,Product Item 0020,24,2024-06-19 14:58:00,39.51,16843,United Kingdom
588473,POST0049,Product Item 0049,12,2025-01-16 18:18:00,28.37,14904,United Kingdom
588840,POST0012,Product Item 0012,18,2024-06-21 19:49:00,1.75,12474,United Kingdom
588820,POST0047,Product Item 0047,15,2025-10-24 20:12:00,38.4,13082,United Kingdom
586965,POST0001,Product Item 0001,12,2025-03-28 01:17:00,3.21,14558,United Kingdom
586111,POST0026,Product Item 0026,16,2024-12-15 15:46:00,37.66,14047,United Kingdom
587752,POST0014,Product Item 0014,8,2025-09-25 11:27:00,11.32,14747,United Kingdom
581445,POST0038,Product Item 0038,14,2025-05-08 00:20:00,47.96,12975,Spain
587364,POST0037,Product Item 0037,17,2025-09-11 09:25:00,19.34,13806,United Kingdom
584626,POST0011,Product Item 0011,21,2024-01-04 20:07:00,17.35,12189,United Kingdom
585016,POST0036,Product Item 0036,8,2024-04-02 20:45:00,8.72,14734,United Kingdom
584875,POST0013,Product Item 0013,15,2024-01-06 13:46:00,16.32,15005,United Kingdom
586497,POST0043,Product Item 0043,14,2024-10-14 22:31:00,44.01,16658,United Kingdom
588787,POST0003,Product Item 0003,18,2025-09-09 02:58:00,49.81,13899,United Kingdom
584337,POST0033,Product Item 0033,20,2024-05-25 18:55:00,19.36,13267,Spain
587238,POST0006,Product Item 0006,7,2025-02-27 18:02:00,23.25,13528,United Kingdom
581261,POST0050,Product Item 0050,3,2025-08-30 22:30:00,36.51,15202,United Kingdom
582848,POST0056,Product Item 0056,12,2025-04-01 15:04:00,44.47,15556,United Kingdom
585992,POST0010,Product Item 0010,21,2024-07-20 11:08:00,30.26,15890,Germany
586190,POST0005,Product Item 0005,24,2024-07-30 03:10:00,20.49,12646,United Kingdom
585025,POST0023,Product Item 0023,3,2024-01-06 20:23:00,21.51,14888,United Kingdom
583266,POST0010,Product Item 0010,20,2025-09-15 22:15:00,35.23,17393,United Kingdom
586652,POST0044,Product Item 0044,14,2025-01-10 11:47:00,1.66,14435,United Kingdom
581091,POST0002,Product Item 0002,15,2025-03-22 17:38:00,31.54,12600,United Kingdom
585222,POST0013,Product Item 0013,14,2024-04-15 06:18:00,18.74,14363,United Kingdom
585175,POST0040,Product Item 0040,7,2025-10-12 06:26:00,40.01,14061,United Kingdom
586943,POST0002,Product Item 0002,17,2025-02-04 03:56:00,6.01,12241,France
584309,POST0020,Product Item 0020,12,2024-04-05 10:15:00,30.02,14041,United Kingdom
581982,POST0001,Product Item 0001,20,2025-01-22 04:42:00,24.82,14824,Netherlands
584443,POST0037,Product Item 0037,4,2025-03-27 00:00:00,32.65,14612,United Kingdom
586011,POST0009,Product Item 0009,9,2025-02-19 07:43:00,4.64,13363,United Kingdom
